status,id,paid,title,subTitle,desc,text,tileUrl,tileUrlExpanded,src_type,src_play,progressBar,extraMeta,reviews,3,extraReviews,trailer,series,player
1,23,,Vẻ đẹp khi bung nở của hoa xương rồng,,,,https://vcdn-vnexpress.vnecdn.net/2017/11/30/CaptureJPG-1512026658_360x216.jpg,,vnexpress,3677752,,,KHOA HỌC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 10/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: VNExpress</li>
</ul>",,,,
1,22,,Nội thất trên máy bay Boeing 787-9 Dreamliner đầu tiên của Australia,,,,https://vcdn-vnexpress.vnecdn.net/2017/11/30/68bd71ed05de6f06298c0f8098a07bf3-1512034163_360x216.jpg,,vnexpress,3677731,,,KHOA HỌC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 10/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: VNExpress</li>
</ul>",,,,
1,21,,Miếng dán biến kính thường thành kính cường lực,,,,https://vcdn-vnexpress.vnecdn.net/2017/11/29/0103000451794pht636245592260081721-1511945985_360x216.jpg,,vnexpress,3677187,,,KHOA HỌC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 10/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: VNExpress</li>
</ul>",,,,
1,20,,5 lầm tưởng phổ biến về khoa học,,,,https://vcdn-vnexpress.vnecdn.net/2017/11/29/sb10065243e001-1511926915_360x216.jpg,,vnexpress,3677173,,,KHOA HỌC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 10/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: VNExpress</li>
</ul>",,,,
1,19,,Những vụ nổ trong quá trình phát triển tên lửa tái sử dụng của SpaceX,,,,https://vcdn-vnexpress.vnecdn.net/2017/11/28/crashrocket-1511858504_360x216.jpg,,vnexpress,3676935,,,KHOA HỌC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 10/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: VNExpress</li>
</ul>",,,,
1,18,,Lốp xe không thể biến dạng của NASA,,,,https://vcdn-vnexpress.vnecdn.net/2017/11/28/maxresdefault-1511840222_360x216.jpg,,vnexpress,3676577,,,KHOA HỌC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 10/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: VNExpress</li>
</ul>",,,,
1,17,,Lý do một số loài rắn đẻ con thay vì đẻ trứng,,,,https://vcdn-vnexpress.vnecdn.net/2017/11/27/1JPG-1511770733_360x216.jpg,,vnexpress,3676037,,,KHOA HỌC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 10/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: VNExpress</li>
</ul>",,,,
1,16,,Thiết bị xua đuổi chim phá hoại mùa màng bằng laser,,,,https://vcdn-vnexpress.vnecdn.net/2017/11/27/maxresdefault-1511758118_360x216.jpg,,vnexpress,3676033,,,KHOA HỌC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 10/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: VNExpress</li>
</ul>",,,,
1,15,,Hồ dung nham được mệnh danh 'cổng địa ngục' ở Ethiopia,,,,https://vcdn-vnexpress.vnecdn.net/2017/11/27/lavalake-1511751746_360x216.jpg,,vnexpress,3676029,,,KHOA HỌC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 10/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: VNExpress</li>
</ul>",,,,
1,14,,Cách cá voi ở Bắc Cực tẩy sạch da chết trên cơ thể,,,,https://vcdn-vnexpress.vnecdn.net/2017/11/26/Anh-1511657122-5978-1511657214_360x216.jpg,,vnexpress,3675770,,,KHOA HỌC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 10/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: VNExpress</li>
</ul>",,,,
